accelerometer,,,
Timestamp (ms),x (m/s^2),y-acc (m/s^2),z-acc(m/s^2)
1485644720517,0.14208984,-1.3061523,-0.07714844
1485644720520,0.19970703,-1.2041016,-0.1484375
1485644720525,0.24804688,-1.0854492,-0.1616211
1485644720530,0.2993164,-0.98535156,-0.20166016
1485644720536,0.34326172,-0.90478516,-0.29589844
1485644720540,0.3408203,-0.81933594,-0.24804688
1485644720544,0.34472656,-0.75439453,-0.13378906
1485644720550,0.3408203,-0.6855469,-0.04345703
1485644720555,0.3408203,-0.65185547,0.03125
1485644720561,0.3564453,-0.63916016,0.12695313
1485644720565,0.36816406,-0.61035156,0.38964844
1485644720571,0.3388672,-0.57470703,0.5205078
1485644720575,0.3334961,-0.5629883,0.4868164
1485644720580,0.3095703,-0.609375,0.5864258
1485644720586,0.2084961,-0.6479492,0.6020508
1485644720590,0.09277344,-0.71972656,0.54345703
1485644720596,-0.023925781,-0.75341797,0.5419922
1485644720600,-0.07324219,-0.73535156,0.6040039
1485644720605,-0.041015625,-0.8183594,0.45263672
1485644720610,-0.03125,-0.7314453,0.42529297
1485644720615,0.053222656,-0.6479492,0.43359375
1485644720621,0.14013672,-0.57470703,0.37890625
1485644720625,0.17529297,-0.52197266,0.38232422
1485644720631,0.20214844,-0.47998047,0.43603516
1485644720635,0.1743164,-0.40234375,0.3774414
1485644720640,0.048828125,-0.5546875,0.3408203
1485644720646,-0.18603516,-0.6166992,0.42333984
1485644720650,-0.30078125,-0.61035156,0.3359375
1485644720656,-0.12207031,-0.7192383,0.23046875
1485644720660,-0.03173828,-0.82714844,0.28027344
1485644720665,-0.005859375,-0.75878906,0.23583984
1485644720670,-0.068359375,-0.85498047,0.114746094
1485644720675,-0.123046875,-0.98779297,0.009277344
1485644720681,-0.23779297,-1.0302734,-0.09667969
1485644720685,-0.2685547,-1.0795898,-0.14404297
1485644720691,-0.29736328,-1.0444336,-0.19384766
1485644720695,-0.21240234,-0.8955078,-0.28955078
1485644720703,0.019042969,-0.7675781,-0.29248047
1485644720706,0.1899414,-0.7089844,-0.3935547
1485644720711,0.19873047,-0.70947266,-0.44384766
1485644720716,0.15527344,-0.6464844,-0.43017578
1485644720720,0.21191406,-0.7089844,-0.44677734
1485644720725,0.22558594,-0.78564453,-0.41992188
1485644720731,0.19238281,-0.76464844,-0.41845703
1485644720735,0.18115234,-0.8022461,-0.42285156
1485644720741,0.1640625,-0.87646484,-0.39257813
1485644720745,0.088378906,-0.9453125,-0.3515625
1485644720751,0.021972656,-1.0185547,-0.265625
1485644720755,-0.027832031,-1.0356445,-0.22802734
1485644720760,-0.114746094,-1.0512695,-0.17089844
1485644720766,-0.1665039,-1.0722656,-0.013671875
1485644720770,-0.2758789,-1.0483398,0.080078125
1485644720776,-0.3828125,-1.1230469,0.2265625
1485644720780,-0.45458984,-1.081543,0.31054688
1485644720785,-0.46777344,-1.0620117,0.3330078
1485644720791,-0.5600586,-1.0478516,0.4086914
1485644720795,-0.69091797,-1.0229492,0.5058594
1485644720801,-0.6591797,-0.9423828,0.6503906
1485644720805,-0.5761719,-0.89501953,0.7158203
1485644720811,-0.8251953,-0.8823242,0.71777344
1485644720815,-0.89501953,-0.81347656,0.6201172
1485644720820,-0.88623047,-0.75439453,0.31152344
1485644720826,-0.8935547,-0.71191406,0.15478516
1485644720830,-0.97753906,-0.6850586,0.111816406
1485644720836,-1.0205078,-0.58154297,-0.022949219
1485644720842,-1.0605469,-0.45898438,-0.044433594
1485644720846,-1.0585938,-0.30273438,-0.09863281
1485644720851,-1.1870117,-0.34960938,-0.18701172
1485644720855,-1.3310547,-0.3100586,-0.21972656
1485644720861,-1.4233398,-0.28222656,-0.24853516
1485644720865,-1.3300781,-0.1796875,-0.22363281
