gyroscope ,,,
Timestamp (ms) , x-gyro (deg/s), y-gyro (deg/s), z-gyro (deg/s) 
1485644721169,20.42683,-56.40244,146.40244
1485644721175,14.146341,-47.134148,143.35367
1485644721179,8.719512,-39.878048,140
1485644721185,-0.18292683,-31.158537,136.70732
1485644721189,-11.036586,-21.82927,131.40244
1485644721195,-18.963415,-15.060976,124.268295
1485644721200,-26.219513,-14.085366,117.56098
1485644721204,-33.47561,-13.597561,110.54878
1485644721210,-41.280487,-16.341463,106.21951
1485644721214,-48.841465,-15.243903,101.28049
1485644721220,-50.73171,-14.085366,99.268295
1485644721225,-51.768295,-10.121951,101.34147
1485644721230,-49.32927,-4.268293,122.68293
1485644721235,-47.560978,-5.4268293,-6.585366
1485644721239,-37.987804,-17.195122,-84.69512
1485644721245,-16.82927,-35.792683,-0.9756098
1485644721249,-5.182927,-56.82927,29.32927
1485644721255,-18.963415,-71.768295,51.82927
1485644721260,-39.512196,-82.86585,40.30488
1485644721264,-57.012196,-94.5122,4.3292685
1485644721270,-72.07317,-100.73171,-26.40244
1485644721274,-84.57317,-104.268295,-34.02439
1485644721280,-92.560974,-107.13415,-19.512196
1485644721285,-94.939026,-111.64635,-2.8658538
1485644721290,-92.13415,-116.34147,5.2439027
1485644721295,-82.80488,-119.63415,7.804878
1485644721302,-69.63415,-117.743904,14.512196
1485644721305,-52.439026,-106.89024,16.341463
1485644721311,-38.109756,-91.64635,17.195122
1485644721315,-29.32927,-74.939026,20.609756
1485644721320,-21.463415,-57.37805,24.573172
1485644721326,-23.780489,-31.158537,30.914635
1485644721330,68.35366,-18.719513,40.42683
1485644721336,111.34147,-18.59756,47.317074
1485644721340,22.195122,6.280488,9.146341
1485644721345,5.7317076,21.524391,-9.3902445
1485644721351,-20.060976,12.012196,27.134148
1485644721355,-54.390244,-8.47561,47.19512
1485644721361,-61.82927,-35.914635,23.59756
1485644721365,-62.98781,-67.560974,9.146341
1485644721371,-73.597565,-75,3.2317073
1485644721375,-80.36585,-74.5122,-14.695123
1485644721380,-83.65854,-65.85366,-20.792683
1485644721386,-81.46342,-58.90244,-20.670732
1485644721392,-72.256096,-51.585365,-18.170732
1485644721396,-64.14634,-40.97561,-16.09756
1485644721400,-52.439026,-32.134148,-14.45122
1485644721406,-38.170734,-22.987806,-6.9512196
1485644721411,-23.658537,-11.097561,-3.902439
1485644721415,-8.841464,-1.1585366,-0.12195122
1485644721421,3.7195122,4.756098,0.73170733
1485644721425,10.609756,5.7317076,3.1097562
1485644721431,13.109756,5,1.2195122
1485644721435,40.060978,-37.19512,2.682927
1485644721441,34.939026,-38.719513,5.487805
1485644721449,-19.87805,-21.768293,4.5731707
1485644721450,-33.292683,-47.560978,5.8536587
1485644721456,-46.463417,-70.85366,2.0731707
1485644721460,-55.30488,-73.78049,-8.414635
1485644721466,-53.414635,-53.59756,1.8902439
1485644721471,-51.95122,-31.280489,5.182927
1485644721476,-30.914635,-11.341464,-7.012195
1485644721481,-10.914635,-2.012195,-10.487805
1485644721485,-1.7073171,0.79268295,-1.9512196
1485644721491,-0.06097561,-3.5365853,-7.256098
1485644721498,-11.219512,-9.146341,-3.6585367
1485644721501,-17.439024,-10.670732,9.207317
1485644721507,-23.59756,-16.585365,-5.5487804
1485644721512,-30.182928,-19.573172,-10.853659
1485644721516,-35.85366,-23.47561,21.280489
1485644721522,-34.02439,-25.487806,21.219513
1485644721526,-32.378048,-29.390245,-21.341463
1485644721531,-32.560978,-28.719513,-31.341465
1485644721537,-24.146341,-30.792685,1.5853659
1485644721541,-14.817074,-30.487806,25.853659
1485644721547,-5.97561,-25.609756,24.207317
1485644721551,9.146341,-25.97561,23.59756
1485644721556,12.865854,-20.182928,35.42683
1485644721561,23.536587,0.30487806,33.719513
1485644721566,49.573174,-1.9512196,25.304878
1485644721572,57.987804,3.6585367,25
1485644721576,60.548782,24.512196,15.487805
1485644721582,72.5,34.268295,7.1341467
1485644721588,78.35366,33.963417,4.878049
1485644721592,76.585365,49.634148,-6.7073174
1485644721597,91.28049,50.121952,-7.1341467
1485644721604,83.17073,37.317074,-10
1485644721607,57.5,68.84147,-12.804878
1485644721611,114.085365,150.60976,-3.5365853
1485644721617,145.42683,137.56097,-20.42683
1485644721621,61.28049,98.17073,-32.682926
1485644721627,28.109756,79.57317,-65
1485644721632,21.036587,77.743904,-62.317074
1485644721636,53.90244,61.09756,-46.82927
1485644721642,40.548782,45.30488,-44.268295
1485644721646,57.5,54.817074,-54.207317
1485644721652,88.96342,69.45122,-28.170732
1485644721657,91.40244,75.85366,39.268295
1485644721663,100.36585,80.97561,66.64634
1485644721667,117.68293,91.03659,114.87805
1485644721671,127.37805,114.268295,211.5244
1485644721677,148.65854,142.5,277.07318
1485644721682,168.41464,157.2561,284.08536
1485644721687,187.43903,175.67073,368.17075
1485644721692,209.5122,193.78049,416.2805
1485644721698,248.41464,200.36586,441.7683
1485644721702,232.98781,230.85367,475.91464
1485644721706,280,240.24391,485
1485644721712,316.09756,270.36584,475.5488
1485644721717,329.87805,307.13416,500.60977
1485644721723,338.65854,338.65854,485.91464
1485644721727,352.56097,370.36588,449.63416
1485644721733,401.82928,381.4634,464.81708
